OBJECTID_1,OBJECTID,Date,Confidence,LS_ID,Notes,DDLon,DDLat,ORIG_OID,FoundGE,NotFoundGE,FoundLS,NotFoundLS,QC_GE,QC_LS,,
3,17319,4/12/2009,8, ,"mudslide, general slide, heavy rainfall",084.52213300W,37.77859600N,17318,WL,,,,,,,
10,17352,5/3/2010,8, ,"mudslide, translational, heavy rainfall",083.48030300W,38.08770500N,17351,WL,,,,,,,
11,17355,5/3/2010,8, ,"landslide, translational, heavy rainfall",083.51446000W,38.10932000N,17354,WL,,,,,,,
29,17518,4/24/2011,8, ,landslideheavy rainfall,084.57505100W,39.00272500N,17517,WL,,,,,,,
53,18038,4/24/2011,8, ,landslideheavy rainfall,082.67388700W,38.40395100N,18037,WL,,,,,,,
54,18040,4/24/2011,8, ,"landslide, slump, heavy rainfall",082.73429800W,38.33313300N,18039,WL,,,,,,,
339,19544,2014,8,L-014-2014,landslide,084.55980400W,38.49223200N,19543,WL,,,,,,,
355,19664,3/14/2015,8, ,"debris flow, debris flow, heavy rains, snowmelt",082.88444800W,37.59664500N,19663,WL,,,,,,,
358,19676,2/22/2015,8, ,"debris flow, debris flow, heavy rains, snowmelt",082.79676000W,37.62788500N,19675,WL,,,,,,,
360,19681,4/3/2015,8, ,"debris flow, debris flow, heavy rains",082.49384800W,37.40880800N,19680,WL,,,,,,,
560,49768,2003/05/14,8,18,"process points, Arbor Crest, Field verified by NCGS,",078.82528000W,35.67951000N,49767,WL,,,,,,,
788,49996,2006/10/10,8,819,"process points, DG_6B071_010, Field verified by NCGS,",081.55222000W,36.21780000N,49995,WL,,,,,,,
796,50004,2006/10/11,8,827,"process points, DG_6B071_018, Field verified by NCGS,",081.55165000W,36.22190000N,50003,WL,,,,,,,
797,50005,2006/10/11,8,828,"process points, DG_6B071_019, Field verified by NCGS,",081.55070000W,36.21629000N,50004,WL,,,,,,,
801,50009,2006/10/11,8,833,"process points, DG_6B071_024, Field verified by NCGS,",081.54634000W,36.21426000N,50008,WL,,,,,,,
805,50013,2006/10/11,8,829,"process points, DG_6B071_020, Field verified by NCGS,",081.55050000W,36.21661000N,50012,WL,,,,,,,
837,50045,2006/10/11,8,868,"process points, DG_6B071_061, Field verified by NCGS,",081.54507000W,36.21100000N,50044,WL,,,,,,,
838,50046,2006/10/11,8,869,"process points, DG_6B071_062, Field verified by NCGS,",081.54485000W,36.21132000N,50045,WL,,,,,,,
1259,50467,2007/06/07,8,4554,"process points,  , Field verified by NCGS,",082.19718000W,35.41899000N,50466,WL,,,,,,,
1534,50742,2006/10/25,8,2393,"process points, wat-bn-0009, Field verified by NCGS,",081.73988000W,36.22869000N,50741,WL,,,,,,,
1594,50802,2006/09/08,8,2269,"process points, Eaglenest Ridge Summit at Angle Falls, Field verified by NCGS,",083.07521664W,35.49237305N,50801,WL,,,,,,,
1601,50809,2006/10/11,8,2336,"process points, wat-dg-0026, Field verified by NCGS,",081.55151000W,36.22171000N,50808,WL,,,,,,,
1602,50810,2006/10/11,8,2338,"process points, wat-dg-0016, Field verified by NCGS,",081.55069000W,36.21617000N,50809,WL,,,,,,,
1655,50863,2006/12/04,8,2559,"process points, wat-sw-1049, Field verified by NCGS,",081.84479000W,36.27008000N,50862,WL,,,,,,,
1673,50881,2006/12/13,8,2608,"process points, cal-gb-1001, Field verified by NCGS,",081.65483000W,36.11468000N,50880,WL,,,,,,,
1848,51056,2007/06/13,8,2992,"process points,  , Field verified by NCGS,",081.74839000W,36.18904000N,51055,WL,,,,,,,
1869,51077,2008/05/02,8,5280,"process points, 200805020050, Field verified by NCGS,",082.44881800W,35.55237500N,51076,WL,,,,,,,
1975,51183,2008/06/23,8,5343,"process points,  , Field verified by NCGS,",082.39875600W,35.71682800N,51182,WL,,,,,,,
2053,51261,2008/06/30,8,5363,"process points,  , Field verified by NCGS,",082.41736600W,35.81006200N,51260,WL,,,,,,,
2457,51665,2007/04/25,8,3597,"process points,  , Field verified by NCGS,",081.82717000W,36.28308000N,51664,WL,,,,,,,
2458,51666,2007/04/25,8,3598,"process points,  , Field verified by NCGS,",081.82759000W,36.28321000N,51665,WL,,,,,,,
2459,51667,2007/04/25,8,3599,"process points,  , Field verified by NCGS,",081.82787000W,36.28349000N,51666,WL,,,,,,,
2460,51668,2007/04/25,8,3600,"process points,  , Field verified by NCGS,",081.82762000W,36.28373000N,51667,WL,,,,,,,
2464,51672,2007/04/25,8,3604,"process points,  , Field verified by NCGS,",081.82342000W,36.28232000N,51671,WL,,,,,,,
2465,51673,2007/04/25,8,3605,"process points,  , Field verified by NCGS,",081.82293000W,36.28198000N,51672,WL,,,,,,,
2466,51674,2007/04/25,8,3606,"process points,  , Field verified by NCGS,",081.82242000W,36.28185000N,51673,WL,,,,,,,
2537,51745,2007/04/25,8,3679,"process points,  , Field verified by NCGS,",081.81824000W,36.28672000N,51744,WL,,,,,,,
2538,51746,2007/04/25,8,3680,"process points,  , Field verified by NCGS,",081.81872000W,36.28656000N,51745,WL,,,,,,,
2541,51749,2007/04/25,8,3683,"process points,  , Field verified by NCGS,",081.81733000W,36.28660000N,51748,WL,,,,,,,
3124,52332,2008/09/12,8,5500,"process points, 200809121029, Field verified by NCGS,",082.53699100W,35.66037900N,52331,WL,,,,,,,
3138,52346,2008/10/15,8,5577,"process points, 200810150015, Field verified by NCGS,",082.24556200W,35.49908600N,52345,WL,,,,,,,
3320,52528,2007/04/25,8,4542,"process points, wat-sw-0073, Field verified by NCGS,",081.82749000W,36.28365000N,52527,WL,,,,,,,
3440,52648,2008/04/07,8,5244,"process points, 200804071037, Field verified by NCGS,",082.48529400W,35.50865400N,52647,WL,,,,,,,
3445,52653,2009/11/18,8,6059,"process points, Wildflower, Field verified by NCGS,",083.35775443W,35.25206794N,52652,WL,,,,,,,
3446,52654,2009/09/02,8,4972,"process points, Cedar Creek Mountain, Field verified by Data Source 1,",082.16524267W,35.51560941N,52653,WL,,,,,,,
3561,52769,2010/01/21,8,201001211002,"process points, Thomas Slide, Field verified by NCGS,",082.66417156W,35.87877783N,52768,WL,,,,,,,
3562,52770,2010/01/22,8,201001221003,"process points, , Field verified by NCGS,",082.63947822W,35.78430353N,52769,WL,,,,,,,
3574,52782,2010/02/24,8,201002241001,"process points, Greyhound Parking Lot, Field verified by NCGS,",082.53628280W,35.59821400N,52781,WL,,,,,,,
3575,52783,2010/02/26,8,201002261001,"process points, I-40 MM  (1), Field verified by NCGS,",083.02718460W,35.73965203N,52782,WL,,,,,,,
3604,52812,2011/04/08,8,201104081001,"process points, Wadsworth - Zerelli, Field verified by NCGS,",083.12080296W,35.16435651N,52811,WL,,,,,,,
3665,52873,20110927,8,201109277002,"process points, Gunter Fork 1, Field verified by NCGS,",083.19522098W,35.68551544N,52872,WL,,,,,,,
3666,52874,2010/02/26,8,201002260002,"process points, I-40 MM2.5 (2), Field verified by NCGS,",083.06622769W,35.75393592N,52873,WL,,,,,,,
3670,52878,2013/01/22,8,201301220001,"process points, Watauga Vista Stacy, Field verified by NCGS,",083.31593427W,35.25609947N,52877,WL,,,,,,,
